cat,yields,proc
UntaggedTag_0,0.21444566307843616,GGF
UntaggedTag_0,0.2130666911479011,GGFPLUSINT
UntaggedTag_0,0.08782728408277762,VBF
UntaggedTag_1,1.8506245328624118,GGF
UntaggedTag_1,1.7929884815182504,GGFPLUSINT
UntaggedTag_1,0.7287773629198,VBF
UntaggedTag_2,0.865663648750342,GGF
UntaggedTag_2,0.831213202473009,GGFPLUSINT
UntaggedTag_2,0.2111360006238101,VBF
UntaggedTag_3,3.4005521018389118,GGF
UntaggedTag_3,3.101762618038265,GGFPLUSINT
UntaggedTag_3,0.6509726592819334,VBF
UntaggedTag_4,0.6632459112297511,GGF
UntaggedTag_4,0.6376013017070363,GGFPLUSINT
UntaggedTag_4,0.06242403543069486,VBF
UntaggedTag_5,4.224866295891843,GGF
UntaggedTag_5,3.955932863853377,GGFPLUSINT
UntaggedTag_5,0.4080585280066771,VBF
UntaggedTag_6,0.898176914677606,GGF
UntaggedTag_6,0.8343938572506886,GGFPLUSINT
UntaggedTag_6,0.03487830646895418,VBF
UntaggedTag_7,5.1174428968133725,GGF
UntaggedTag_7,4.786904597413013,GGFPLUSINT
UntaggedTag_7,0.22151871252458477,VBF
UntaggedTag_8,0.8269869496871252,GGF
UntaggedTag_8,0.8052490500631393,GGFPLUSINT
UntaggedTag_8,0.025021190673442106,VBF
UntaggedTag_9,5.5999832793240785,GGF
UntaggedTag_9,5.330740769626573,GGFPLUSINT
UntaggedTag_9,0.1357584151970741,VBF
